tipologia,genere,bagno,cucina,salotto,balcone,zona,Prezzo €
doppia,F,1,1,0,0,S.Vitale,340
doppia,F,2,1,1,0,Irnerio,242
doppia,M/F,2,1,1,1,Costa Saragozza,233
doppia,M,1,1,1,1,Mazzini,285
doppia,M/F,1,1,0,0,Irnerio,352
doppia,M,1,1,0,0,Marconi,350
doppia,M/F,1,1,0,1,Costa Saragozza,310
doppia,M,2,1,0,1,Costa Saragozza,250
doppia,M/F,1,1,1,1,San Donato,385
doppia,M/F,2,1,1,0,San Donato,250
doppia,M/F,1,1,0,0,Mazzini,250
doppia,M,1,1,1,0,Barca,225
doppia,F,2,1,0,1,Mazzini,200
doppia,M/F,1,1,0,0,Malpighi,250
doppia,M/F,1,1,1,1,Murri,250
doppia,M/F,1,1,1,1,Malpighi,185
doppia,M/F,1,1,0,0,Irnerio,265
doppia,M/F,1,1,0,0,Lame,275
doppia,F,1,1,0,1,Murri,317
doppia,F,2,1,0,1,San Donato,250
doppia,M/F,1,1,0,1,Mazzini,200
doppia,M/F,1,1,1,1,San Donato,280
doppia,F,2,1,0,1,Irnerio,256
doppia,M/F,1,1,1,0,Marconi,250
doppia,F,1,1,0,1,S.Vitale,270
doppia,F,2,1,0,0,Irnerio,210
doppia,M,1,1,0,1,Saffi,235
doppia,M/F,2,1,1,0,Galvani,267
doppia,F,1,1,0,0,Costa Saragozza,260
doppia,F,1,1,0,1,Mazzini,280
doppia,M/F,1,1,0,1,Bolognina,350
doppia,F,1,1,1,2,Murri,230
doppia,M/F,1,1,0,0,Marconi,240
doppia,M,1,1,0,0,Irnerio,215
doppia,M/F,1,1,0,0,Galvani,225
doppia,F,1,1,1,1,Saffi,300
doppia,F,2,1,0,1,Mazzini,320
doppia,F,1,1,0,0,Bolognina,235
doppia,F,2,1,1,0,Mazzini,300
doppia,F,1,1,1,1,San Donato,210
doppia,M/F,1,1,0,0,Malpighi,285
doppia,F,1,1,0,0,Malpighi,350
doppia,F,2,1,1,0,Marconi,225
doppia,F,1,1,1,0,Saffi,225
doppia,M/F,1,1,1,1,Marconi,230
doppia,F,2,1,1,0,Marconi,275
doppia,F,2,1,0,0,Murri,206
doppia,M/F,1,1,0,0,Irnerio,240
doppia,M/F,1,1,0,0,Colli,300
doppia,M/F,1,1,0,0,Irnerio,250
doppia,M/F,1,1,1,1,Irnerio,250
doppia,M/F,2,1,0,0,Irnerio,270
doppia,M/F,1,1,0,2,Bolognina,237
doppia,M/F,2,1,1,0,Malpighi,250
doppia,M/F,1,1,1,0,Bolognina,250
doppia,F,1,1,1,0,Malpighi,350
doppia,F,1,1,0,0,Galvani,300
