tipologia,genere,zona,bagno,cucina,salotto,balcone,euro,range euro
doppia,M/F,Bolognina,1,1,1,1,225,225-250
doppia,M/F,Irnerio,1,1,1,1,350,350-375
doppia,M,Saffi,1,1,0,0,200,200-225
doppia,F,Lame,1,1,0,1,220,200-225
doppia,F,San Donato,1,1,0,1,210,200-225
doppia,M,Bolognina,1,1,1,0,240,225-250
doppia,M/F,Bolognina,1,1,0,1,220,200-225
doppia,M/F,Irnerio,2,1,1,0,350,350-375
doppia,M/F,S.Viola,1,1,1,0,250,250-275
doppia,F,Murri,1,1,0,1,260,250-275
doppia,F,Mazzini,1,1,1,1,230,225-250
doppia,M,Lame,1,1,1,1,335,325-350
doppia,M/F,San Donato,1,1,0,0,230,225-250
doppia,F,Marconi,1,1,0,0,276,275-300
doppia,M/F,San Donato,1,1,1,2,330,325-350
doppia,F,Murri,1,1,0,1,277,275-300
doppia,M/F,S.Vitale,1,1,0,0,250,250-275
doppia,F,Costa Saragozza,1,1,0,0,320,300-325
doppia,M/F,San Donato,1,1,1,0,275,275-300
doppia,F,Marconi,1,1,0,0,200,200-225
doppia,M/F,Mazzini,1,1,0,0,300,300-325
doppia,F,Mazzini,1,1,1,0,250,250-275
doppia,F,S.Vitale,1,1,0,0,340,325-350
doppia,F,Irnerio,2,1,1,0,242,225-250
doppia,M/F,Costa Saragozza,2,1,1,1,233,225-250
doppia,M,Mazzini,1,1,1,1,285,275-300
doppia,M/F,Irnerio,1,1,0,0,352,350-375
doppia,M,Marconi,1,1,0,0,350,350-375
doppia,M/F,Costa Saragozza,1,1,0,1,310,300-325
doppia,M,Costa Saragozza,2,1,0,1,250,250-275
doppia,M/F,San Donato,1,1,1,1,385,375-400
doppia,M/F,San Donato,2,1,1,0,250,250-275
doppia,M/F,Mazzini,1,1,0,0,250,250-275
doppia,M,Barca,1,1,1,0,225,225-250
doppia,F,Mazzini,2,1,0,1,200,200-225
doppia,M/F,Malpighi,1,1,0,0,250,250-275
doppia,M/F,Murri,1,1,1,1,250,250-275
doppia,M/F,Malpighi,1,1,1,1,185,175-200
